UID	PID	PPID	LWP	C	NLWP	%CPU	%MEM	VSZ	RSS	TTY	STAT	START	TIME	COMMAND
root	64	2	64	0	1	0.0	0.0	0	0	?	S	12:10	0:00	[cpuhp/14]
root	65	2	65	0	1	0.0	0.0	0	0	?	S	12:10	0:00	[idle_inject/14]
root	66	2	66	0	1	0.0	0.0	0	0	?	S	12:10	0:00	[migration/14]
root	67	2	67	0	1	0.0	0.0	0	0	?	S	12:10	0:00	[ksoftirqd/14]
root	68	2	68	0	1	0.0	0.0	0	0	?	I	12:10	0:00	[kworker/14:0-events]
root	69	2	69	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/14:0H-events_highpri]
root	70	2	70	0	1	0.0	0.0	0	0	?	S	12:10	0:00	[cpuhp/15]
root	71	2	71	0	1	0.0	0.0	0	0	?	S	12:10	0:00	[idle_inject/15]
root	72	2	72	0	1	0.0	0.0	0	0	?	S	12:10	0:00	[migration/15]
root	73	2	73	0	1	0.0	0.0	0	0	?	S	12:10	0:00	[ksoftirqd/15]
root	74	2	74	0	1	0.0	0.0	0	0	?	I	12:10	0:00	[kworker/15:0-cgroup_free]
root	75	2	75	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/15:0H-events_highpri]
root	76	2	76	0	1	0.0	0.0	0	0	?	S	12:10	0:00	[cpuhp/1]
root	77	2	77	0	1	0.0	0.0	0	0	?	S	12:10	0:00	[idle_inject/1]
root	78	2	78	0	1	0.0	0.0	0	0	?	S	12:10	0:00	[migration/1]
root	79	2	79	0	1	0.0	0.0	0	0	?	S	12:10	0:00	[ksoftirqd/1]
root	80	2	80	0	1	0.3	0.0	0	0	?	I	12:10	0:00	[kworker/1:0-events]
root	81	2	81	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/1:0H-events_highpri]
root	82	2	82	0	1	0.0	0.0	0	0	?	S	12:10	0:00	[cpuhp/3]
root	83	2	83	0	1	0.0	0.0	0	0	?	S	12:10	0:00	[idle_inject/3]
root	84	2	84	0	1	0.0	0.0	0	0	?	S	12:10	0:00	[migration/3]
root	85	2	85	0	1	0.0	0.0	0	0	?	S	12:10	0:00	[ksoftirqd/3]
root	86	2	86	0	1	0.0	0.0	0	0	?	I	12:10	0:00	[kworker/3:0-events]
root	87	2	87	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/3:0H-events_highpri]
root	88	2	88	0	1	0.0	0.0	0	0	?	S	12:10	0:00	[cpuhp/5]
root	89	2	89	0	1	0.0	0.0	0	0	?	S	12:10	0:00	[idle_inject/5]
root	90	2	90	0	1	0.0	0.0	0	0	?	S	12:10	0:00	[migration/5]
root	91	2	91	0	1	0.0	0.0	0	0	?	S	12:10	0:00	[ksoftirqd/5]
root	92	2	92	0	1	0.0	0.0	0	0	?	I	12:10	0:00	[kworker/5:0-events]
root	93	2	93	0	1	0.0	0.0	0	0	?	I<	12:10	0:00	[kworker/5:0H-events_highpri]
root	94	2	94	0	1	0.0	0.0	0	0	?	S	12:10	0:00	[cpuhp/7]
root	95	2	95	0	1	0.0	0.0	0	0	?	S	12:10	0:00	[idle_inject/7]
root	96	2	96	0	1	0.0	0.0	0	0	?	S	12:10	0:00	[migration/7]
